urn,path,author,title,suggested_genre,confidence,family,proposed_subclass,structure_signature,match,needs_review,recommended_genre,notes
urn:cts:latinLit:phi2331.phi023.perseus-lat2,phi2331/phi023/phi2331.phi023.perseus-lat2.xml,Scriptores Historiae Augustae,Gallieni Duo,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi024.perseus-lat2,phi2331/phi024/phi2331.phi024.perseus-lat2.xml,Scriptores Historiae Augustae,Tyranni Triginta,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi025.perseus-lat2,phi2331/phi025/phi2331.phi025.perseus-lat2.xml,Scriptores Historiae Augustae,Divus Claudius,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi026.perseus-lat2,phi2331/phi026/phi2331.phi026.perseus-lat2.xml,Scriptores Historiae Augustae,Divus Aurelianus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi027.perseus-lat2,phi2331/phi027/phi2331.phi027.perseus-lat2.xml,Scriptores Historiae Augustae,Tacitus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi028.perseus-lat2,phi2331/phi028/phi2331.phi028.perseus-lat2.xml,Scriptores Historiae Augustae,Probus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi029.perseus-lat2,phi2331/phi029/phi2331.phi029.perseus-lat2.xml,Scriptores Historiae Augustae,"Firmus Saturninus, Proculus et Bonosus",prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi030.perseus-lat2,phi2331/phi030/phi2331.phi030.perseus-lat2.xml,Scriptores Historiae Augustae,Carus et Carinus et Numerianus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:stoa0023.stoa001.perseus-eng2,stoa0023/stoa001/stoa0023.stoa001.perseus-eng2.xml,Ammianus Marcellinus,Res Gestae,prose-standard,high,prose,prose-standard,book+chapter+section+l,ready,false,prose-standard,
urn:cts:latinLit:stoa0023.stoa001.perseus-eng3,stoa0023/stoa001/stoa0023.stoa001.perseus-eng3.xml,Ammianus Marcellinus,Res Gestae,prose-standard,high,prose,prose-standard,(none),review,true,prose-standard,
urn:cts:latinLit:stoa0023.stoa001.perseus-lat2,stoa0023/stoa001/stoa0023.stoa001.perseus-lat2.xml,Ammianus Marcellinus,Res Gestae,prose-standard,high,prose,prose-standard,book+chapter+section+l,ready,false,prose-standard,
urn:cts:latinLit:stoa0045.stoa001.perseus-lat2,stoa0045/stoa001/stoa0045.stoa001.perseus-lat2.xml,"Ausonius, Decimus Magnus",De Bissula,verse-stichic,high,verse,verse-stichic,section+l,ready,false,verse-stichic,
urn:cts:latinLit:stoa0045.stoa002.perseus-lat2,stoa0045/stoa002/stoa0045.stoa002.perseus-lat2.xml,"Ausonius, Decimus Magnus",Caesares,verse-stichic,high,verse,verse-book-poem-line,book+poem+section+l,ready,false,verse-book-poem-line,
urn:cts:latinLit:stoa0045.stoa003.perseus-lat2,stoa0045/stoa003/stoa0045.stoa003.perseus-lat2.xml,"Ausonius, Decimus Magnus",Cento Nuptialis,verse-stichic,high,verse,verse-stichic,praeface+section+l,ready,false,verse-stichic,
urn:cts:latinLit:stoa0045.stoa004.perseus-lat2,stoa0045/stoa004/stoa0045.stoa004.perseus-lat2.xml,"Ausonius, Decimus Magnus",Commemoratio Professorum Burdigalensium,verse-stichic,high,verse,verse-stichic,section+l,ready,false,verse-stichic,
urn:cts:latinLit:stoa0045.stoa005.perseus-lat2,stoa0045/stoa005/stoa0045.stoa005.perseus-lat2.xml,"Ausonius, Decimus Magnus",Cupido Cruciatus,verse-stichic,high,verse,verse-stichic,section+l,ready,false,verse-stichic,
urn:cts:latinLit:stoa0045.stoa006.perseus-lat2,stoa0045/stoa006/stoa0045.stoa006.perseus-lat2.xml,"Ausonius, Decimus Magnus",De Herediolo,verse-stichic,high,verse,verse-stichic,section+l,ready,false,verse-stichic,
urn:cts:latinLit:stoa0045.stoa007.perseus-lat2,stoa0045/stoa007/stoa0045.stoa007.perseus-lat2.xml,"Ausonius, Decimus Magnus",Eclogarum Liber,verse-poem-line,high,verse,verse-poem-line,poem+l,ready,false,verse-poem-line,
urn:cts:latinLit:stoa0045.stoa008.perseus-lat2,stoa0045/stoa008/stoa0045.stoa008.perseus-lat2.xml,"Ausonius, Decimus Magnus",Ephemeris,verse-stichic,high,verse,verse-poem-line,poem+l,ready,false,verse-poem-line,
urn:cts:latinLit:stoa0045.stoa009.perseus-lat2,stoa0045/stoa009/stoa0045.stoa009.perseus-lat2.xml,"Ausonius, Decimus Magnus",Epicedion in Patrem,verse-stichic,high,verse,verse-poem-line,poem+l,ready,false,verse-poem-line,
urn:cts:latinLit:stoa0045.stoa010.perseus-eng1,stoa0045/stoa010/stoa0045.stoa010.perseus-eng1.xml,"Ausonius, Decimus Magnus",Epigrammaton Liber,verse-poem-line,high,verse,verse-stichic,(none),review,true,verse-stichic,
urn:cts:latinLit:stoa0045.stoa010.perseus-lat2,stoa0045/stoa010/stoa0045.stoa010.perseus-lat2.xml,"Ausonius, Decimus Magnus",Epigrammaton Liber,verse-poem-line,high,verse,verse-poem-line,poem+l,ready,false,verse-poem-line,
urn:cts:latinLit:stoa0045.stoa011.perseus-eng1,stoa0045/stoa011/stoa0045.stoa011.perseus-eng1.xml,"Ausonius, Decimus Magnus",Epistulae,prose-epistle,medium,prose,prose-standard,(none),review,true,prose-standard,
urn:cts:latinLit:stoa0045.stoa011.perseus-lat2,stoa0045/stoa011/stoa0045.stoa011.perseus-lat2.xml,"Ausonius, Decimus Magnus",Epistulae,prose-epistle,medium,prose,prose-standard,letter+l,review,true,prose-standard,
urn:cts:latinLit:stoa0045.stoa012.perseus-lat2,stoa0045/stoa012/stoa0045.stoa012.perseus-lat2.xml,"Ausonius, Decimus Magnus",Epitaphia,verse-poem-line,high,verse,verse-poem-line,poem+l,ready,false,verse-poem-line,
urn:cts:latinLit:stoa0045.stoa013.perseus-lat2,stoa0045/stoa013/stoa0045.stoa013.perseus-lat2.xml,"Ausonius, Decimus Magnus",Genethliacon ad Ausonium Nepotem,verse-stichic,high,verse,verse-stichic,section+l,ready,false,verse-stichic,
urn:cts:latinLit:stoa0045.stoa014.perseus-eng1,stoa0045/stoa014/stoa0045.stoa014.perseus-eng1.xml,"Ausonius, Decimus Magnus",Gratiarum Actio,prose-section,high,prose,prose-standard,(none),review,true,prose-standard,
