urn,path,author,title,suggested_genre,confidence,family,proposed_subclass,structure_signature,match,needs_review,recommended_genre,notes
urn:cts:greekLit:tlg0027.tlg004.perseus-eng2,tlg0027/tlg004/tlg0027.tlg004.perseus-eng2.xml,Andocides,Against Alcibiades,prose-oratory,high,prose,prose-section,part+section,ready,false,prose-section,
urn:cts:greekLit:tlg0027.tlg004.perseus-grc2,tlg0027/tlg004/tlg0027.tlg004.perseus-grc2.xml,Andocides,Against Alcibiades,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0028.tlg001.perseus-eng2,tlg0028/tlg001/tlg0028.tlg001.perseus-eng2.xml,Antiphon,Against the Stepmother for Poisoning,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0028.tlg001.perseus-grc2,tlg0028/tlg001/tlg0028.tlg001.perseus-grc2.xml,Antiphon,Against the Stepmother for Poisoning,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0028.tlg002.perseus-eng2,tlg0028/tlg002/tlg0028.tlg002.perseus-eng2.xml,Antiphon,The First Tetralogy,prose-oratory,high,prose,prose-section,section+tetralogy,ready,false,prose-section,
urn:cts:greekLit:tlg0028.tlg002.perseus-grc2,tlg0028/tlg002/tlg0028.tlg002.perseus-grc2.xml,Antiphon,The First Tetralogy,prose-oratory,high,prose,prose-section,section+tetralogy,ready,false,prose-section,
urn:cts:greekLit:tlg0028.tlg003.perseus-eng2,tlg0028/tlg003/tlg0028.tlg003.perseus-eng2.xml,Antiphon,The Second Tetralogy,prose-oratory,high,prose,prose-section,section+tetralogy,ready,false,prose-section,
urn:cts:greekLit:tlg0028.tlg003.perseus-grc2,tlg0028/tlg003/tlg0028.tlg003.perseus-grc2.xml,Antiphon,The Second Tetralogy,prose-oratory,high,prose,prose-section,section+tetralogy,ready,false,prose-section,
urn:cts:greekLit:tlg0028.tlg004.perseus-eng2,tlg0028/tlg004/tlg0028.tlg004.perseus-eng2.xml,Antiphon,The Third Tetralogy,prose-oratory,high,prose,prose-section,section+tetralogy,ready,false,prose-section,
urn:cts:greekLit:tlg0028.tlg004.perseus-grc2,tlg0028/tlg004/tlg0028.tlg004.perseus-grc2.xml,Antiphon,The Third Tetralogy,prose-oratory,high,prose,prose-section,section+tetralogy,ready,false,prose-section,
urn:cts:greekLit:tlg0028.tlg005.perseus-eng2,tlg0028/tlg005/tlg0028.tlg005.perseus-eng2.xml,Antiphon,On the murder of Herodes,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0028.tlg005.perseus-grc2,tlg0028/tlg005/tlg0028.tlg005.perseus-grc2.xml,Antiphon,On the murder of Herodes,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0028.tlg006.perseus-eng2,tlg0028/tlg006/tlg0028.tlg006.perseus-eng2.xml,Antiphon,On the Choreutes,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0028.tlg006.perseus-grc2,tlg0028/tlg006/tlg0028.tlg006.perseus-grc2.xml,Antiphon,On the Choreutes,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0029.tlg004.perseus-eng2,tlg0029/tlg004/tlg0029.tlg004.perseus-eng2.xml,Dinarchus,Against Demosthenes,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0029.tlg004.perseus-grc2,tlg0029/tlg004/tlg0029.tlg004.perseus-grc2.xml,Dinarchus,Against Demosthenes,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0029.tlg005.perseus-eng2,tlg0029/tlg005/tlg0029.tlg005.perseus-eng2.xml,Dinarchus,Against Aristogiton,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0029.tlg005.perseus-grc2,tlg0029/tlg005/tlg0029.tlg005.perseus-grc2.xml,Dinarchus,Against Aristogiton,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
